Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,0.053000,0.053000,0.050000,0.050000,0.050000,3325981
2020-03-03,0.052000,0.053000,0.050000,0.051000,0.051000,2297498
2020-03-04,0.052000,0.053000,0.051000,0.053000,0.053000,454295
2020-03-05,0.054000,0.055000,0.051000,0.051000,0.051000,4504916
2020-03-06,0.051000,0.052000,0.042000,0.046000,0.046000,4205296
2020-03-09,0.047000,0.049000,0.043000,0.044000,0.044000,4206950
2020-03-10,0.042000,0.046000,0.037000,0.043000,0.043000,4496264
2020-03-11,0.044000,0.047000,0.044000,0.046000,0.046000,2075276
2020-03-12,0.045000,0.045000,0.039000,0.042000,0.042000,3079025
2020-03-13,0.039000,0.040000,0.036000,0.040000,0.040000,5271286
2020-03-16,0.039000,0.045000,0.039000,0.039000,0.039000,5212217
2020-03-17,0.039000,0.043000,0.038000,0.041000,0.041000,1169510
2020-03-18,0.040000,0.040000,0.032000,0.032000,0.032000,6327297
2020-03-19,0.031000,0.032000,0.029000,0.029000,0.029000,3843780
2020-03-20,0.030000,0.033000,0.030000,0.030000,0.030000,1302412
2020-03-23,0.030000,0.030000,0.027000,0.028000,0.028000,1127561
2020-03-24,0.029000,0.029000,0.025000,0.027000,0.027000,2408707
2020-03-25,0.029000,0.033000,0.028000,0.029000,0.029000,2440715
2020-03-26,0.030000,0.032000,0.029000,0.029000,0.029000,491493
2020-03-27,0.029000,0.031000,0.029000,0.030000,0.030000,714127
2020-03-30,0.029000,0.029000,0.027000,0.028000,0.028000,2835708
2020-03-31,0.030000,0.032000,0.029000,0.030000,0.030000,1737765
2020-04-01,0.030000,0.032000,0.029000,0.032000,0.032000,759486
2020-04-02,0.031000,0.032000,0.030000,0.030000,0.030000,564944
2020-04-03,0.030000,0.031000,0.030000,0.031000,0.031000,687939
2020-04-06,0.031000,0.031500,0.030000,0.030000,0.030000,1633861
2020-04-07,0.033000,0.033000,0.029000,0.030000,0.030000,2749447
2020-04-08,0.030000,0.030000,0.028000,0.028000,0.028000,2265138
2020-04-09,0.029000,0.031000,0.027000,0.028000,0.028000,4861829
2020-04-14,0.030000,0.030000,0.028000,0.030000,0.030000,2463792
2020-04-15,0.031000,0.045000,0.030000,0.039000,0.039000,7497549
2020-04-16,0.040000,0.040000,0.035000,0.036000,0.036000,2506118
2020-04-17,0.040000,0.043000,0.038000,0.041000,0.041000,3285543
2020-04-20,0.042000,0.044000,0.041000,0.041000,0.041000,847110
2020-04-21,0.041000,0.041000,0.039000,0.040000,0.040000,1221319
2020-04-22,0.039000,0.039000,0.038000,0.039000,0.039000,1047772
2020-04-23,0.040000,0.040000,0.038000,0.038000,0.038000,1140840
2020-04-24,0.039000,0.039500,0.036000,0.039000,0.039000,1540449
2020-04-27,0.040000,0.040000,0.039000,0.040000,0.040000,826247
2020-04-28,0.040000,0.041000,0.039000,0.039000,0.039000,1043123
2020-04-29,0.040000,0.041000,0.040000,0.041000,0.041000,222831
2020-04-30,0.042000,0.049000,0.040000,0.043000,0.043000,2734841
2020-05-01,0.043000,0.045000,0.043000,0.044000,0.044000,830885
2020-05-04,0.045000,0.051000,0.045000,0.050000,0.050000,2202665
2020-05-05,0.052000,0.052000,0.048000,0.048000,0.048000,1109785
2020-05-06,0.049000,0.052000,0.049000,0.051000,0.051000,1468070
2020-05-07,0.052000,0.053000,0.051000,0.051000,0.051000,1252016
2020-05-08,0.052000,0.057000,0.051000,0.053000,0.053000,3591086
2020-05-11,0.055000,0.057000,0.053000,0.053000,0.053000,1452590
2020-05-12,0.054000,0.054000,0.050000,0.050000,0.050000,3569809
2020-05-13,0.051000,0.051000,0.045000,0.045000,0.045000,4838430
2020-05-14,0.048000,0.051000,0.042000,0.042000,0.042000,4285656
2020-05-15,0.045000,0.050000,0.045000,0.049000,0.049000,4000414
2020-05-18,0.049000,0.050000,0.048000,0.049000,0.049000,1719767
2020-05-19,0.050000,0.050000,0.049000,0.049000,0.049000,508739
2020-05-20,0.050000,0.050000,0.049000,0.049000,0.049000,585489
2020-05-21,0.050000,0.050000,0.049000,0.049000,0.049000,571134
2020-05-22,0.050000,0.050000,0.049000,0.049000,0.049000,780736
2020-05-25,0.050000,0.050000,0.047000,0.049000,0.049000,508744
2020-05-26,0.049000,0.049000,0.047000,0.049000,0.049000,1063212
2020-05-27,0.050000,0.050000,0.049000,0.050000,0.050000,318195
2020-05-28,0.051000,0.054000,0.050000,0.051000,0.051000,5022669
2020-05-29,0.052000,0.052000,0.051000,0.051000,0.051000,691570
2020-06-01,0.051000,0.051000,0.050000,0.051000,0.051000,578105
2020-06-02,0.053000,0.053000,0.052000,0.052000,0.052000,1247554
2020-06-03,0.053000,0.054000,0.052000,0.054000,0.054000,1238216
2020-06-04,0.055000,0.058000,0.054000,0.058000,0.058000,2137524
2020-06-05,0.059000,0.060000,0.057000,0.059000,0.059000,2060712
2020-06-09,0.060000,0.062000,0.057000,0.057000,0.057000,2259232
2020-06-10,0.057000,0.058000,0.055000,0.055000,0.055000,1539961
2020-06-11,0.055000,0.056000,0.054000,0.055000,0.055000,1251773
2020-06-12,0.050000,0.052000,0.047000,0.051000,0.051000,3520532
2020-06-15,0.052000,0.054000,0.051000,0.054000,0.054000,1427794
2020-06-16,0.054000,0.055000,0.053000,0.053000,0.053000,234371
2020-06-17,0.054000,0.054000,0.052000,0.052000,0.052000,293064
2020-06-18,0.052000,0.055000,0.052000,0.055000,0.055000,703966
2020-06-19,0.056000,0.056000,0.055000,0.056000,0.056000,476751
2020-06-22,0.055000,0.055000,0.053000,0.053000,0.053000,427239
2020-06-23,0.053000,0.053000,0.053000,0.053000,0.053000,0
2020-06-24,0.053000,0.053000,0.053000,0.053000,0.053000,0
2020-06-25,0.053000,0.053000,0.053000,0.053000,0.053000,0
2020-06-26,0.053000,0.053000,0.053000,0.053000,0.053000,0
2020-06-29,0.052000,0.053000,0.045000,0.047000,0.047000,5974268
2020-06-30,0.048000,0.049000,0.046000,0.046000,0.046000,2558156
2020-07-01,0.047000,0.049000,0.047000,0.047000,0.047000,1231096
2020-07-02,0.046000,0.046000,0.044000,0.045000,0.045000,7968844
2020-07-03,0.045000,0.045500,0.044000,0.044000,0.044000,7174415
2020-07-06,0.045000,0.046000,0.043000,0.044000,0.044000,15421691
2020-07-07,0.044000,0.045000,0.044000,0.044000,0.044000,8040550
2020-07-08,0.045000,0.046000,0.045000,0.045000,0.045000,4420004
2020-07-09,0.046000,0.046000,0.045000,0.046000,0.046000,1605485
2020-07-10,0.046000,0.048000,0.045000,0.045000,0.045000,5720134
2020-07-13,0.046000,0.046500,0.045000,0.045000,0.045000,1184216
2020-07-14,0.046000,0.046000,0.044000,0.045000,0.045000,2829803
2020-07-15,0.045000,0.045000,0.044000,0.044000,0.044000,2809867
2020-07-16,0.045000,0.045000,0.043000,0.044000,0.044000,5067970
2020-07-17,0.045000,0.046000,0.044000,0.045000,0.045000,1472780
