Date,Open,High,Low,Close,Adj Close,Volume
1/5/20,0.051,0.053,0.051,0.051,0.051,1646688
4/5/20,0.053,0.0535,0.052,0.052,0.052,3356701
5/5/20,0.053,0.053,0.049,0.051,0.051,5016838
6/5/20,0.052,0.052,0.049,0.049,0.049,4981366
7/5/20,0.05,0.051,0.049,0.049,0.049,3648415
8/5/20,0.051,0.052,0.049,0.049,0.049,3545321
11/5/20,0.05,0.052,0.05,0.05,0.05,5585549
12/5/20,0.051,0.052,0.05,0.05,0.05,1381710
13/5/20,0.051,0.052,0.05,0.051,0.051,1466760
14/5/20,0.051,0.052,0.05,0.051,0.051,1543565
15/5/20,0.052,0.054,0.051,0.051,0.051,3005498
18/5/20,0.052,0.054,0.052,0.053,0.053,3949226
19/5/20,0.054,0.057,0.054,0.054,0.054,5962230
20/5/20,0.054,0.062,0.054,0.062,0.062,9294820
21/5/20,0.064,0.066,0.057,0.062,0.062,12605629
22/5/20,0.063,0.063,0.058,0.058,0.058,5278493
25/5/20,0.06,0.07,0.06,0.064,0.064,30846967
26/5/20,0.066,0.077,0.066,0.074,0.074,35655154
27/5/20,0.078,0.084,0.077,0.079,0.079,31165828
28/5/20,0.079,0.08,0.071,0.071,0.071,21536841
29/5/20,0.072,0.073,0.067,0.071,0.071,11760852
1/6/20,0.074,0.079,0.073,0.077,0.077,10003545
2/6/20,0.078,0.08,0.075,0.076,0.076,6316812
3/6/20,0.078,0.079,0.076,0.076,0.076,4744593
4/6/20,0.077,0.08,0.077,0.079,0.079,9014510
5/6/20,0.082,0.09,0.082,0.088,0.088,19077502
9/6/20,0.105,0.13,0.105,0.12,0.12,45812525
10/6/20,0.12,0.125,0.11,0.11,0.11,17597244
11/6/20,0.11,0.12,0.1,0.105,0.105,10661232
12/6/20,0.094,0.1,0.088,0.098,0.098,23890045
15/6/20,0.1,0.11,0.093,0.097,0.097,17530152
16/6/20,0.105,0.11,0.097,0.099,0.099,11428075
17/6/20,0.105,0.105,0.098,0.1,0.1,10774678
18/6/20,0.099,0.105,0.096,0.097,0.097,10687712
19/6/20,0.097,0.098,0.094,0.097,0.097,6028517
22/6/20,0.095,0.095,0.092,0.093,0.093,7915839
23/6/20,0.093,0.097,0.09,0.09,0.09,9219802
24/6/20,0.094,0.098,0.092,0.093,0.093,11442778
25/6/20,0.09,0.092,0.086,0.087,0.087,17135733
26/6/20,0.089,0.091,0.084,0.085,0.085,10507129
29/6/20,0.083,0.083,0.077,0.078,0.078,12510491
30/6/20,0.08,0.082,0.077,0.081,0.081,9945041
1/7/20,0.08,0.088,0.078,0.086,0.086,11612126
