Date,Open,High,Low,Close,Adj Close,Volume
1/5/20,0.027,0.027,0.025,0.026,0.026,15968271
4/5/20,0.026,0.027,0.026,0.026,0.026,9260081
5/5/20,0.026,0.03,0.026,0.029,0.029,43605020
6/5/20,0.03,0.032,0.03,0.031,0.031,22998775
7/5/20,0.031,0.031,0.028,0.028,0.028,17827975
8/5/20,0.029,0.03,0.028,0.028,0.028,8492932
11/5/20,0.029,0.0295,0.028,0.029,0.029,6847961
12/5/20,0.029,0.029,0.028,0.029,0.029,2932070
13/5/20,0.029,0.03,0.028,0.03,0.03,12699963
14/5/20,0.03,0.032,0.029,0.031,0.031,13155070
15/5/20,0.031,0.031,0.03,0.03,0.03,12114484
18/5/20,0.03,0.031,0.03,0.03,0.03,5189211
19/5/20,0.031,0.034,0.031,0.034,0.034,23712313
20/5/20,0.033,0.0335,0.032,0.033,0.033,16922053
21/5/20,0.033,0.034,0.032,0.034,0.034,31224863
22/5/20,0.034,0.036,0.034,0.034,0.034,31241412
25/5/20,0.035,0.035,0.031,0.032,0.032,18787636
26/5/20,0.032,0.033,0.032,0.032,0.032,5255190
27/5/20,0.032,0.033,0.032,0.033,0.033,7235827
28/5/20,0.033,0.035,0.032,0.034,0.034,20178061
29/5/20,0.034,0.035,0.034,0.034,0.034,11521262
1/6/20,0.034,0.035,0.033,0.033,0.033,7654312
2/6/20,0.034,0.0355,0.034,0.034,0.034,13340359
3/6/20,0.034,0.035,0.034,0.034,0.034,10051693
4/6/20,0.036,0.037,0.035,0.036,0.036,19267874
5/6/20,0.035,0.036,0.035,0.035,0.035,4269480
9/6/20,0.036,0.037,0.035,0.036,0.036,12211795
10/6/20,0.036,0.037,0.035,0.036,0.036,5739270
11/6/20,0.036,0.039,0.036,0.036,0.036,34792908
12/6/20,0.034,0.036,0.032,0.036,0.036,20647217
15/6/20,0.036,0.036,0.032,0.032,0.032,16274990
16/6/20,0.034,0.035,0.033,0.034,0.034,6298035
17/6/20,0.035,0.035,0.034,0.034,0.034,5602069
18/6/20,0.034,0.034,0.032,0.033,0.033,15760911
19/6/20,0.034,0.035,0.033,0.034,0.034,11974533
22/6/20,0.034,0.034,0.031,0.031,0.031,18156941
23/6/20,0.031,0.033,0.031,0.032,0.032,8570923
24/6/20,0.032,0.033,0.032,0.032,0.032,11357849
25/6/20,0.032,0.032,0.031,0.032,0.032,2536239
26/6/20,0.031,0.0325,0.031,0.032,0.032,6587878
29/6/20,0.031,0.032,0.03,0.031,0.031,8841209
30/6/20,0.031,0.031,0.03,0.031,0.031,5188684
1/7/20,0.031,0.032,0.03,0.032,0.032,2775144
2/7/20,0.032,0.034,0.032,0.034,0.034,10166107
3/7/20,0.034,0.035,0.034,0.034,0.034,7100171
6/7/20,0.035,0.035,0.034,0.035,0.035,9047839
7/7/20,0.035,0.036,0.035,0.036,0.036,3957832
8/7/20,0.036,0.036,0.034,0.034,0.034,8098208
9/7/20,0.035,0.036,0.034,0.034,0.034,5062826
10/7/20,0.035,0.035,0.034,0.034,0.034,4890861
13/7/20,0.034,0.035,0.034,0.034,0.034,2527904
14/7/20,0.036,0.038,0.034,0.034,0.034,31497281
15/7/20,0.035,0.035,0.034,0.035,0.035,6074531
16/7/20,0.036,0.0365,0.035,0.036,0.036,9153397
17/7/20,0.037,0.04,0.037,0.038,0.038,50072459
20/7/20,0.038,0.0445,0.038,0.044,0.044,71822522
21/7/20,0.046,0.048,0.041,0.042,0.042,70644338
22/7/20,0.043,0.05,0.043,0.05,0.05,46848322
23/7/20,0.05,0.054,0.047,0.053,0.053,62815521
24/7/20,0.053,0.054,0.051,0.053,0.053,23718434
27/7/20,0.054,0.067,0.053,0.065,0.065,85315135
28/7/20,0.065,0.066,0.057,0.059,0.059,43618519
29/7/20,0.059,0.06,0.051,0.057,0.057,56288561
30/7/20,0.056,0.058,0.054,0.056,0.056,19935855
31/7/20,0.055,0.06,0.055,0.059,0.059,27946852
3/8/20,0.059,0.059,0.056,0.057,0.057,13455811
4/8/20,0.058,0.058,0.053,0.055,0.055,28454934
5/8/20,0.055,0.056,0.051,0.056,0.056,36191763
6/8/20,0.059,0.06,0.056,0.057,0.057,21834745
7/8/20,0.058,0.058,0.056,0.056,0.056,13331553
10/8/20,0.058,0.0585,0.057,0.058,0.058,11172529
11/8/20,0.058,0.058,0.055,0.056,0.056,12378378
12/8/20,0.056,0.057,0.053,0.055,0.055,19653954
13/8/20,0.054,0.055,0.053,0.054,0.054,8765151
14/8/20,0.054,0.056,0.054,0.056,0.056,9865454
17/8/20,0.056,0.056,0.053,0.055,0.055,8011109
18/8/20,0.055,0.057,0.055,0.055,0.055,10384953
19/8/20,0.055,0.057,0.055,0.056,0.056,6476125
20/8/20,0.056,0.056,0.054,0.056,0.056,9652465
21/8/20,0.06,0.062,0.056,0.057,0.057,40946468
24/8/20,0.057,0.058,0.056,0.056,0.056,9315794
25/8/20,0.057,0.058,0.055,0.057,0.057,9746617
26/8/20,0.057,0.057,0.054,0.056,0.056,10421443
27/8/20,0.055,0.058,0.055,0.058,0.058,6561718
28/8/20,0.059,0.06,0.056,0.057,0.057,9379592
31/8/20,0.057,0.057,0.055,0.055,0.055,8758715
1/9/20,0.056,0.056,0.054,0.054,0.054,9683241
2/9/20,0.055,0.055,0.052,0.052,0.052,12044875
3/9/20,0.051,0.056,0.046,0.053,0.053,37968051
4/9/20,0.05,0.052,0.049,0.05,0.05,11200458
7/9/20,0.049,0.05,0.048,0.05,0.05,6074249
8/9/20,0.05,0.051,0.048,0.05,0.05,7616568
9/9/20,0.048,0.049,0.046,0.048,0.048,12458177
10/9/20,0.049,0.049,0.048,0.048,0.048,3272720
11/9/20,0.048,0.048,0.045,0.045,0.045,8746941
14/9/20,0.045,0.048,0.045,0.047,0.047,5571960
15/9/20,0.047,0.049,0.047,0.049,0.049,4371156
16/9/20,0.049,0.049,0.047,0.047,0.047,5020524
17/9/20,0.047,0.048,0.046,0.046,0.046,5323057
18/9/20,0.046,0.047,0.045,0.046,0.046,2287251
21/9/20,0.047,0.048,0.045,0.047,0.047,6578715
22/9/20,0.047,0.047,0.046,0.046,0.046,2699799
23/9/20,0.046,0.047,0.045,0.045,0.045,4297662
24/9/20,0.046,0.047,0.045,0.047,0.047,4854422
25/9/20,0.047,0.048,0.046,0.048,0.048,5295322
28/9/20,0.049,0.049,0.047,0.047,0.047,4437920
29/9/20,0.047,0.0485,0.047,0.047,0.047,6959609
30/9/20,0.049,0.049,0.047,0.047,0.047,2177049
1/10/20,0.049,0.052,0.049,0.051,0.051,9874383
2/10/20,0.056,0.056,0.051,0.051,0.051,24522850
5/10/20,0.053,0.054,0.052,0.053,0.053,5761253
6/10/20,0.055,0.055,0.053,0.054,0.054,9555000
7/10/20,0.055,0.056,0.053,0.056,0.056,12887099
8/10/20,0.056,0.057,0.054,0.055,0.055,6277419
9/10/20,0.055,0.056,0.054,0.056,0.056,10018358
12/10/20,0.056,0.056,0.054,0.055,0.055,6670170
13/10/20,0.055,0.056,0.054,0.054,0.054,3960243
14/10/20,0.054,0.055,0.054,0.055,0.055,4138698
15/10/20,0.055,0.056,0.054,0.054,0.054,6666924
16/10/20,0.054,0.055,0.054,0.055,0.055,5868927
19/10/20,0.056,0.059,0.055,0.057,0.057,13869870
20/10/20,0.058,0.063,0.056,0.063,0.063,17440082
21/10/20,0.064,0.064,0.059,0.06,0.06,14690767
22/10/20,0.059,0.061,0.059,0.061,0.061,5754748
23/10/20,0.061,0.062,0.059,0.06,0.06,6240355
26/10/20,0.059,0.06,0.057,0.058,0.058,7310964
27/10/20,0.057,0.057,0.055,0.056,0.056,6331043
28/10/20,0.055,0.057,0.055,0.057,0.057,5150904
29/10/20,0.054,0.055,0.054,0.054,0.054,6274167
30/10/20,0.054,0.056,0.054,0.056,0.056,3204826
2/11/20,0.058,0.058,0.055,0.056,0.056,8835482
3/11/20,0.056,0.057,0.055,0.055,0.055,2695024
4/11/20,0.055,0.058,0.055,0.056,0.056,5658341
5/11/20,0.057,0.058,0.057,0.057,0.057,1467031
6/11/20,0.057,0.063,0.057,0.063,0.063,21255956
9/11/20,0.065,0.066,0.06,0.062,0.062,23472889
10/11/20,0.063,0.064,0.061,0.062,0.062,6447651
11/11/20,0.063,0.075,0.062,0.075,0.075,45386202
12/11/20,0.08,0.085,0.078,0.079,0.079,65591306
13/11/20,0.079,0.081,0.076,0.08,0.08,13552876
16/11/20,0.081,0.087,0.081,0.087,0.087,9610419
17/11/20,0.097,0.105,0.095,0.1,0.1,82376530
18/11/20,0.1,0.11,0.098,0.098,0.098,35885806
19/11/20,0.098,0.098,0.089,0.092,0.092,30209522
20/11/20,0.092,0.105,0.092,0.1,0.1,34539374
23/11/20,0.115,0.125,0.11,0.115,0.115,57799130
24/11/20,0.125,0.14,0.12,0.125,0.125,47953221
25/11/20,0.13,0.14,0.11,0.11,0.11,57486244
26/11/20,0.115,0.12,0.098,0.105,0.105,60934489
27/11/20,0.1,0.105,0.099,0.1,0.1,38935492
30/11/20,0.105,0.12,0.105,0.12,0.12,27360458
1/12/20,0.125,0.135,0.125,0.13,0.13,39438307
2/12/20,0.13,0.135,0.12,0.125,0.125,16361682
3/12/20,0.125,0.13,0.125,0.125,0.125,19326551
4/12/20,0.13,0.13,0.1225,0.125,0.125,18602902
7/12/20,0.13,0.135,0.125,0.125,0.125,21820187
8/12/20,0.125,0.1325,0.12,0.12,0.12,19602684
9/12/20,0.125,0.13,0.115,0.115,0.115,15447068
10/12/20,0.115,0.125,0.11,0.115,0.115,16987677
11/12/20,0.115,0.12,0.11,0.115,0.115,19952145
14/12/20,0.11,0.115,0.105,0.11,0.11,15586830
15/12/20,0.105,0.11,0.1,0.105,0.105,10997403
16/12/20,0.105,0.105,0.098,0.099,0.099,25768087
17/12/20,0.1,0.105,0.098,0.099,0.099,22010053
18/12/20,0.1,0.1,0.097,0.099,0.099,10463968
21/12/20,0.1,0.105,0.096,0.096,0.096,19859583
22/12/20,0.096,0.098,0.096,0.096,0.096,6391652
23/12/20,0.097,0.105,0.097,0.105,0.105,4874281
24/12/20,0.105,0.105,0.1,0.1,0.1,8834634
29/12/20,0.105,0.105,0.1,0.1,0.1,2387126
30/12/20,0.1,0.105,0.1,0.1,0.1,2856186
31/12/20,0.105,0.105,0.1,0.1,0.1,4440485
4/1/21,0.1,0.105,0.1,0.1,0.1,3330949
5/1/21,0.105,0.105,0.1,0.1,0.1,8320937
6/1/21,0.1,0.105,0.1,0.1,0.1,8237662
7/1/21,0.105,0.105,0.1,0.1,0.1,7109141
8/1/21,0.105,0.115,0.1025,0.11,0.11,19028124
11/1/21,0.115,0.125,0.11,0.115,0.115,18383069
12/1/21,0.115,0.1175,0.1,0.11,0.11,18817493
13/1/21,0.105,0.11,0.105,0.105,0.105,4837559
14/1/21,0.105,0.11,0.105,0.11,0.11,5311787
15/1/21,0.11,0.115,0.105,0.115,0.115,10912921
18/1/21,0.11,0.115,0.105,0.11,0.11,7751866
19/1/21,0.11,0.115,0.105,0.11,0.11,6073278
20/1/21,0.11,0.1125,0.105,0.105,0.105,4883498
21/1/21,0.11,0.1225,0.105,0.12,0.12,28943248
22/1/21,0.12,0.1225,0.11,0.115,0.115,10020286
25/1/21,0.115,0.115,0.11,0.11,0.11,4091086
27/1/21,0.115,0.115,0.105,0.11,0.11,12899351
28/1/21,0.11,0.11,0.1,0.105,0.105,17295495
29/1/21,0.11,0.11,0.1,0.105,0.105,9670153
1/2/21,0.1,0.105,0.098,0.1,0.1,26314079
2/2/21,0.1,0.105,0.099,0.1,0.1,19242643
3/2/21,0.105,0.105,0.096,0.098,0.098,17379681
4/2/21,0.099,0.099,0.094,0.097,0.097,11510155
5/2/21,0.099,0.1,0.097,0.098,0.098,7765834
8/2/21,0.099,0.1,0.098,0.1,0.1,7977435
9/2/21,0.1,0.105,0.099,0.1,0.1,5007315
10/2/21,0.105,0.105,0.099,0.1,0.1,8184756
11/2/21,0.1,0.105,0.1,0.1,0.1,9108409
12/2/21,0.105,0.11,0.1,0.1,0.1,10242587
15/2/21,0.11,0.11,0.105,0.105,0.105,7749206
16/2/21,0.11,0.115,0.105,0.115,0.115,12013935
17/2/21,0.115,0.115,0.105,0.105,0.105,10099560
18/2/21,0.11,0.11,0.1025,0.105,0.105,10354623
19/2/21,0.105,0.11,0.105,0.105,0.105,3701433
22/2/21,0.105,0.11,0.1,0.1,0.1,8237633
23/2/21,0.1,0.105,0.1,0.105,0.105,7027567
24/2/21,0.105,0.105,0.1,0.1,0.1,3316157
25/2/21,0.105,0.1075,0.1,0.105,0.105,6021110
26/2/21,0.105,0.105,0.1,0.1,0.1,3711276
1/3/21,0.105,0.105,0.1,0.1,0.1,6497105
2/3/21,0.105,0.105,0.099,0.1,0.1,18140146
3/3/21,0.1,0.105,0.099,0.1,0.1,12852193
4/3/21,0.099,0.1,0.097,0.097,0.097,9372124
5/3/21,0.097,0.097,0.092,0.096,0.096,12673516
8/3/21,0.098,0.1025,0.094,0.095,0.095,14548477
9/3/21,0.095,0.097,0.092,0.095,0.095,3980175
10/3/21,0.097,0.1,0.095,0.1,0.1,5778145
11/3/21,0.1,0.1125,0.1,0.11,0.11,24232830
12/3/21,0.11,0.115,0.11,0.11,0.11,7952790
15/3/21,0.115,0.12,0.1125,0.115,0.115,18126019
16/3/21,0.115,0.12,0.115,0.115,0.115,2445932
17/3/21,0.12,0.12,0.115,0.12,0.12,4949673
18/3/21,0.12,0.125,0.12,0.125,0.125,10700456
19/3/21,0.125,0.125,0.1175,0.12,0.12,10606641
22/3/21,0.12,0.125,0.115,0.115,0.115,4978564
23/3/21,0.12,0.12,0.1175,0.12,0.12,3207675
24/3/21,0.115,0.125,0.115,0.115,0.115,7250948
25/3/21,0.115,0.12,0.11,0.115,0.115,6766117
26/3/21,0.115,0.12,0.115,0.12,0.12,3021627
29/3/21,0.12,0.1225,0.115,0.115,0.115,5179112
30/3/21,0.115,0.12,0.1125,0.12,0.12,5531568
31/3/21,0.12,0.12,0.115,0.12,0.12,1150499
1/4/21,0.12,0.125,0.12,0.12,0.12,5555150
6/4/21,0.125,0.135,0.125,0.13,0.13,21484594
7/4/21,0.135,0.1625,0.135,0.155,0.155,52726882
8/4/21,0.165,0.1675,0.15,0.16,0.16,33055066
9/4/21,0.165,0.185,0.165,0.18,0.18,33735303
12/4/21,0.195,0.205,0.16,0.165,0.165,74334696
13/4/21,0.165,0.17,0.155,0.17,0.17,18452073
14/4/21,0.175,0.18,0.17,0.17,0.17,8689566
15/4/21,0.175,0.18,0.17,0.175,0.175,6996947
16/4/21,0.18,0.2,0.175,0.19,0.19,25134834
19/4/21,0.195,0.205,0.19,0.195,0.195,30204699
20/4/21,0.195,0.195,0.1825,0.185,0.185,11459118
21/4/21,0.2,0.215,0.185,0.2,0.2,34878681
22/4/21,0.195,0.2,0.1875,0.19,0.19,10362825
23/4/21,0.19,0.195,0.1875,0.19,0.19,9728468
26/4/21,0.19,0.19,0.185,0.19,0.19,4647255
27/4/21,0.19,0.2,0.185,0.19,0.19,8548288
28/4/21,0.19,0.195,0.185,0.19,0.19,7339680
29/4/21,0.19,0.195,0.185,0.195,0.195,6884927
30/4/21,0.195,0.2,0.185,0.19,0.19,12482789
3/5/21,0.19,0.21,0.185,0.205,0.205,12052935
4/5/21,0.21,0.21,0.195,0.2,0.2,10631781
5/5/21,0.2,0.245,0.2,0.245,0.245,30281279
6/5/21,0.25,0.2625,0.23,0.26,0.26,24662580
7/5/21,0.26,0.29,0.2475,0.26,0.26,50807907
10/5/21,0.26,0.26,0.235,0.26,0.26,26252315
11/5/21,0.25,0.26,0.245,0.255,0.255,8180991
12/5/21,0.255,0.275,0.255,0.265,0.265,12909321
13/5/21,0.26,0.31,0.26,0.31,0.31,28453510
14/5/21,0.315,0.32,0.285,0.31,0.31,28165179
17/5/21,0.32,0.355,0.315,0.33,0.33,44255295
18/5/21,0.35,0.365,0.33,0.33,0.33,35290869
19/5/21,0.34,0.38,0.33,0.365,0.365,35107622
20/5/21,0.375,0.425,0.3725,0.395,0.395,51955103
21/5/21,0.41,0.42,0.3725,0.405,0.405,28229225
24/5/21,0.415,0.4225,0.39,0.405,0.405,20015324
25/5/21,0.41,0.46,0.41,0.455,0.455,54183307
26/5/21,0.46,0.495,0.445,0.47,0.47,45734501
27/5/21,0.46,0.46,0.33,0.425,0.425,231598218
28/5/21,0.425,0.47,0.41,0.455,0.455,43488846
31/5/21,0.46,0.475,0.395,0.4,0.4,42448779
1/6/21,0.4,0.415,0.37,0.375,0.375,34840528
2/6/21,0.385,0.405,0.375,0.395,0.395,28394647
3/6/21,0.4,0.405,0.385,0.395,0.395,12345649
4/6/21,0.39,0.395,0.375,0.39,0.39,17215525
7/6/21,0.385,0.385,0.37,0.37,0.37,12041511
8/6/21,0.37,0.375,0.31,0.32,0.32,68531658
9/6/21,0.305,0.325,0.295,0.31,0.31,59214697
10/6/21,0.305,0.33,0.295,0.315,0.315,33975071
11/6/21,0.315,0.355,0.31,0.345,0.345,31574239
15/6/21,0.35,0.365,0.34,0.34,0.34,22767698
16/6/21,0.34,0.345,0.32,0.32,0.32,14453774
17/6/21,0.32,0.32,0.31,0.315,0.315,5949394
18/6/21,0.32,0.36,0.32,0.36,0.36,24378775
21/6/21,0.345,0.355,0.34,0.345,0.345,7526612
22/6/21,0.345,0.355,0.335,0.335,0.335,6711256
23/6/21,0.335,0.34,0.33,0.34,0.34,4168309
24/6/21,0.34,0.37,0.34,0.36,0.36,20680991
25/6/21,0.36,0.38,0.36,0.37,0.37,12915676
28/6/21,0.37,0.395,0.36,0.37,0.37,12500804
29/6/21,0.365,0.37,0.34,0.345,0.345,10985051
30/6/21,0.345,0.36,0.345,0.355,0.355,8394540
1/7/21,0.36,0.36,0.345,0.35,0.35,5744089
2/7/21,0.38,0.38,0.355,0.365,0.365,22385076
5/7/21,0.375,0.375,0.35,0.35,0.35,12276054
6/7/21,0.355,0.355,0.33,0.335,0.335,14187793
7/7/21,0.335,0.3475,0.33,0.335,0.335,8159555
8/7/21,0.34,0.34,0.33,0.33,0.33,5793083
9/7/21,0.33,0.3375,0.33,0.33,0.33,4603806
12/7/21,0.335,0.345,0.33,0.33,0.33,8546905
13/7/21,0.335,0.34,0.33,0.34,0.34,4204753
14/7/21,0.335,0.34,0.33,0.33,0.33,6809854
15/7/21,0.33,0.34,0.33,0.34,0.34,5244500
16/7/21,0.33,0.34,0.33,0.335,0.335,7050215
19/7/21,0.335,0.335,0.315,0.325,0.325,13629557
20/7/21,0.315,0.325,0.31,0.315,0.315,8833337
21/7/21,0.315,0.34,0.315,0.34,0.34,9413757
22/7/21,0.34,0.355,0.335,0.35,0.35,12843037
23/7/21,0.345,0.35,0.335,0.335,0.335,5079255
26/7/21,0.34,0.34,0.33,0.33,0.33,5435419
27/7/21,0.33,0.33,0.33,0.33,0.33,0
28/7/21,0.33,0.33,0.33,0.33,0.33,0
29/7/21,0.3,0.305,0.29,0.3,0.3,57302849
30/7/21,0.3,0.305,0.295,0.295,0.295,16405949
2/8/21,0.295,0.3,0.29,0.29,0.29,10999977
3/8/21,0.29,0.31,0.29,0.3,0.3,22659643
4/8/21,0.295,0.3,0.295,0.295,0.295,8406312
5/8/21,0.305,0.31,0.2775,0.285,0.285,54445687
6/8/21,0.29,0.295,0.285,0.29,0.29,12612527
9/8/21,0.29,0.295,0.28,0.28,0.28,14672366
10/8/21,0.285,0.29,0.28,0.285,0.285,7887715
11/8/21,0.285,0.3,0.28,0.295,0.295,19036370
12/8/21,0.295,0.315,0.29,0.31,0.31,35949114
13/8/21,0.31,0.31,0.285,0.29,0.29,17891229
16/8/21,0.295,0.31,0.29,0.3,0.3,10025644
17/8/21,0.305,0.305,0.29,0.29,0.29,8188452
18/8/21,0.295,0.2975,0.29,0.29,0.29,6691510
19/8/21,0.29,0.3,0.29,0.295,0.295,6907578
20/8/21,0.295,0.3,0.28,0.285,0.285,13699852
23/8/21,0.295,0.315,0.29,0.31,0.31,26698633
24/8/21,0.31,0.325,0.305,0.315,0.315,24378778
25/8/21,0.315,0.325,0.31,0.325,0.325,10500648
26/8/21,0.325,0.35,0.32,0.34,0.34,18134493
27/8/21,0.355,0.365,0.34,0.345,0.345,24195826
30/8/21,0.345,0.38,0.34,0.38,0.38,31475983
31/8/21,0.385,0.4175,0.37,0.415,0.415,40580224
1/9/21,0.4,0.415,0.39,0.4,0.4,29017066
2/9/21,0.4,0.4,0.385,0.39,0.39,21519141
3/9/21,0.395,0.4,0.39,0.395,0.395,11383723
6/9/21,0.405,0.41,0.395,0.4,0.4,20588603
7/9/21,0.41,0.43,0.4,0.425,0.425,22141837
8/9/21,0.42,0.42,0.405,0.41,0.41,24746548
9/9/21,0.405,0.42,0.385,0.385,0.385,21083746
10/9/21,0.38,0.405,0.38,0.4,0.4,18819257
13/9/21,0.395,0.41,0.3925,0.405,0.405,16013066
14/9/21,0.405,0.41,0.395,0.4,0.4,11761561
15/9/21,0.395,0.415,0.395,0.41,0.41,14368026
16/9/21,0.42,0.44,0.415,0.425,0.425,34193235
17/9/21,0.43,0.47,0.43,0.465,0.465,333604767
20/9/21,0.46,0.47,0.44,0.465,0.465,33652450
21/9/21,0.45,0.465,0.445,0.455,0.455,22858925
22/9/21,0.465,0.485,0.46,0.47,0.47,37936756
23/9/21,0.48,0.5,0.455,0.495,0.495,45816415
24/9/21,0.5,0.515,0.48,0.48,0.48,31324824
27/9/21,0.49,0.505,0.485,0.49,0.49,17203269
28/9/21,0.495,0.495,0.46,0.48,0.48,23978058
29/9/21,0.46,0.48,0.455,0.48,0.48,15411343
30/9/21,0.475,0.49,0.47,0.48,0.48,14784703
1/10/21,0.475,0.48,0.46,0.475,0.475,15915551
4/10/21,0.47,0.475,0.445,0.445,0.445,22018032
5/10/21,0.44,0.4425,0.41,0.42,0.42,32929755
6/10/21,0.42,0.43,0.395,0.41,0.41,26003426
7/10/21,0.41,0.45,0.405,0.45,0.45,20159495
8/10/21,0.46,0.465,0.435,0.445,0.445,13498178
11/10/21,0.435,0.435,0.415,0.42,0.42,10039874
12/10/21,0.395,0.425,0.395,0.42,0.42,22779409
13/10/21,0.42,0.42,0.39,0.395,0.395,11540191
14/10/21,0.4,0.42,0.4,0.41,0.41,8957089
15/10/21,0.42,0.425,0.41,0.42,0.42,7050268
18/10/21,0.43,0.43,0.415,0.415,0.415,9184325
19/10/21,0.425,0.4525,0.41,0.45,0.45,19766329
20/10/21,0.45,0.455,0.435,0.45,0.45,10997459
21/10/21,0.45,0.455,0.425,0.455,0.455,15798792
22/10/21,0.46,0.465,0.445,0.445,0.445,10123717
25/10/21,0.45,0.475,0.45,0.475,0.475,14300646
26/10/21,0.475,0.48,0.46,0.475,0.475,14219879
27/10/21,0.475,0.48,0.455,0.48,0.48,12871625
28/10/21,0.475,0.49,0.465,0.485,0.485,15497718
29/10/21,0.485,0.5,0.475,0.495,0.495,17227732
1/11/21,0.505,0.545,0.505,0.515,0.515,42491998
2/11/21,0.515,0.53,0.51,0.52,0.52,12007844
3/11/21,0.52,0.555,0.515,0.555,0.555,22950926
4/11/21,0.57,0.6,0.56,0.57,0.57,32184901
5/11/21,0.575,0.595,0.565,0.59,0.59,17010134
8/11/21,0.595,0.6,0.57,0.585,0.585,18319443
9/11/21,0.59,0.6125,0.575,0.605,0.605,23636022
10/11/21,0.595,0.6,0.575,0.58,0.58,20881072
11/11/21,0.58,0.59,0.56,0.56,0.56,18249539
12/11/21,0.565,0.585,0.56,0.58,0.58,13249395
15/11/21,0.58,0.585,0.56,0.575,0.575,11902055
16/11/21,0.615,0.625,0.58,0.595,0.595,40982534
17/11/21,0.59,0.59,0.535,0.54,0.54,44397041
18/11/21,0.535,0.57,0.515,0.565,0.565,50011426
19/11/21,0.56,0.57,0.545,0.565,0.565,13229929
22/11/21,0.55,0.555,0.53,0.53,0.53,19245248
23/11/21,0.535,0.55,0.515,0.55,0.55,15611707
24/11/21,0.55,0.555,0.52,0.525,0.525,14333307
25/11/21,0.53,0.535,0.515,0.53,0.53,12873833
26/11/21,0.53,0.535,0.51,0.51,0.51,15724688
29/11/21,0.495,0.515,0.49,0.51,0.51,30344948
30/11/21,0.51,0.55,0.5,0.55,0.55,33020922
1/12/21,0.53,0.545,0.5,0.505,0.505,22525699
2/12/21,0.5,0.525,0.49,0.515,0.515,19658549
3/12/21,0.52,0.535,0.51,0.51,0.51,13823785
6/12/21,0.51,0.52,0.475,0.475,0.475,29134646
7/12/21,0.495,0.505,0.475,0.48,0.48,20421139
8/12/21,0.495,0.5,0.48,0.48,0.48,14519933
9/12/21,0.48,0.52,0.48,0.51,0.51,19275003
10/12/21,0.51,0.515,0.485,0.515,0.515,16994503
13/12/21,0.535,0.535,0.515,0.52,0.52,21699984
14/12/21,0.52,0.52,0.485,0.485,0.485,30435664
15/12/21,0.49,0.49,0.455,0.455,0.455,29116999
16/12/21,0.455,0.47,0.4425,0.47,0.47,20852840
17/12/21,0.465,0.475,0.45,0.455,0.455,212568412
20/12/21,0.45,0.455,0.415,0.42,0.42,32634616
21/12/21,0.395,0.425,0.38,0.42,0.42,61017415
22/12/21,0.43,0.43,0.405,0.405,0.405,16916239
23/12/21,0.41,0.42,0.405,0.41,0.41,6361139
24/12/21,0.415,0.42,0.41,0.415,0.415,4218264
29/12/21,0.415,0.435,0.415,0.435,0.435,8931015
30/12/21,0.435,0.44,0.395,0.4,0.4,24649942
31/12/21,0.405,0.405,0.395,0.4,0.4,10169563
4/1/22,0.415,0.435,0.4125,0.425,0.425,24283182
5/1/22,0.43,0.43,0.385,0.39,0.39,27352466
6/1/22,0.38,0.395,0.36,0.36,0.36,30064956
7/1/22,0.375,0.3775,0.3525,0.36,0.36,26489370
10/1/22,0.36,0.375,0.345,0.36,0.36,19031357
11/1/22,0.36,0.375,0.35,0.35,0.35,22594489
12/1/22,0.355,0.3725,0.35,0.37,0.37,17090042
13/1/22,0.38,0.3825,0.36,0.36,0.36,15609464
