Date,Open,High,Low,Close,Adj Close,Volume
1/5/20,0.46,0.48,0.46,0.47,0.47,184555
4/5/20,0.47,0.49,0.47,0.48,0.48,124184
5/5/20,0.49,0.55,0.49,0.53,0.53,836320
6/5/20,0.54,0.54,0.53,0.53,0.53,355025
7/5/20,0.53,0.53,0.5,0.5,0.5,301664
8/5/20,0.51,0.52,0.49,0.49,0.49,331954
11/5/20,0.51,0.53,0.46,0.46,0.46,506079
12/5/20,0.47,0.49,0.47,0.49,0.49,338758
13/5/20,0.5,0.5,0.48,0.48,0.48,162515
14/5/20,0.5,0.5,0.48,0.48,0.48,106648
15/5/20,0.49,0.49,0.48,0.48,0.48,179524
18/5/20,0.49,0.49,0.47,0.47,0.47,193276
19/5/20,0.48,0.49,0.47,0.48,0.48,141542
20/5/20,0.49,0.49,0.46,0.47,0.47,435887
21/5/20,0.47,0.49,0.47,0.49,0.49,216230
22/5/20,0.48,0.49,0.48,0.49,0.49,202352
25/5/20,0.53,0.53,0.48,0.49,0.49,1053011
26/5/20,0.5,0.53,0.49,0.52,0.52,959295
27/5/20,0.53,0.53,0.5,0.5,0.5,362528
28/5/20,0.51,0.59,0.51,0.57,0.57,1671803
29/5/20,0.57,0.58,0.55,0.57,0.57,826810
1/6/20,0.58,0.66,0.58,0.66,0.66,1755866
2/6/20,0.66,0.67,0.61,0.63,0.63,1021790
3/6/20,0.64,0.66,0.62,0.62,0.62,645066
4/6/20,0.63,0.64,0.62,0.62,0.62,343245
5/6/20,0.64,0.64,0.62,0.64,0.64,243929
9/6/20,0.65,0.65,0.56,0.59,0.59,901092
10/6/20,0.59,0.62,0.57,0.6,0.6,379986
11/6/20,0.6,0.63,0.53,0.54,0.54,1031203
12/6/20,0.51,0.53,0.47,0.53,0.53,485889
15/6/20,0.56,0.58,0.49,0.5,0.5,808920
16/6/20,0.53,0.56,0.53,0.56,0.56,211555
17/6/20,0.56,0.58,0.54,0.57,0.57,359479
18/6/20,0.57,0.61,0.56,0.58,0.58,515914
19/6/20,0.6,0.61,0.58,0.6,0.6,314118
22/6/20,0.6,0.62,0.57,0.61,0.61,409055
23/6/20,0.61,0.63,0.56,0.58,0.58,630958
24/6/20,0.56,0.57,0.51,0.54,0.54,1083970
25/6/20,0.56,0.56,0.52,0.52,0.52,365718
26/6/20,0.53,0.56,0.51,0.51,0.51,401007
29/6/20,0.51,0.52,0.5,0.5,0.5,313094
30/6/20,0.52,0.54,0.5,0.54,0.54,472902
1/7/20,0.55,0.59,0.54,0.58,0.58,412427
2/7/20,0.59,0.6,0.56,0.57,0.57,293806
3/7/20,0.54,0.56,0.53,0.53,0.53,268491
6/7/20,0.54,0.57,0.54,0.57,0.57,352597
7/7/20,0.57,0.57,0.54,0.55,0.55,240388
8/7/20,0.55,0.55,0.54,0.54,0.54,252997
9/7/20,0.56,0.57,0.56,0.57,0.57,173721
10/7/20,0.57,0.6,0.56,0.6,0.6,705727
13/7/20,0.62,0.62,0.58,0.6,0.6,432442
14/7/20,0.59,0.59,0.56,0.57,0.57,293742
15/7/20,0.56,0.62,0.56,0.6,0.6,1023243
16/7/20,0.6,0.6,0.58,0.58,0.58,280552
17/7/20,0.6,0.6,0.55,0.58,0.58,3856971
20/7/20,0.58,0.58,0.54,0.57,0.57,804335
21/7/20,0.56,0.57,0.55,0.55,0.55,247918
22/7/20,0.55,0.56,0.52,0.54,0.54,638652
23/7/20,0.54,0.54,0.52,0.52,0.52,462012
24/7/20,0.53,0.54,0.53,0.54,0.54,362013
27/7/20,0.54,0.57,0.54,0.57,0.57,618614
28/7/20,0.58,0.6,0.55,0.55,0.55,745408
29/7/20,0.55,0.56,0.51,0.51,0.51,798443
30/7/20,0.54,0.54,0.51,0.51,0.51,882876
31/7/20,0.52,0.52,0.47,0.49,0.49,1128350
3/8/20,0.5,0.51,0.49,0.49,0.49,723118
4/8/20,0.51,0.51,0.47,0.5,0.5,705839
5/8/20,0.5,0.5,0.48,0.5,0.5,443424
6/8/20,0.5,0.51,0.48,0.5,0.5,717431
7/8/20,0.51,0.53,0.49,0.52,0.52,875961
10/8/20,0.55,0.56,0.54,0.54,0.54,787687
11/8/20,0.56,0.56,0.53,0.53,0.53,503289
12/8/20,0.51,0.51,0.48,0.5,0.5,1134035
13/8/20,0.51,0.51,0.49,0.5,0.5,314112
14/8/20,0.5,0.51,0.48,0.5,0.5,744704
17/8/20,0.51,0.51,0.5,0.5,0.5,425330
18/8/20,0.51,0.51,0.49,0.5,0.5,714693
19/8/20,0.5,0.56,0.49,0.56,0.56,2155232
20/8/20,0.56,0.56,0.53,0.53,0.53,738729
21/8/20,0.53,0.53,0.49,0.49,0.49,1397186
24/8/20,0.49,0.5,0.47,0.48,0.48,704620
25/8/20,0.49,0.49,0.44,0.46,0.46,1161340
26/8/20,0.47,0.5,0.47,0.48,0.48,884201
27/8/20,0.49,0.52,0.49,0.51,0.51,719265
28/8/20,0.51,0.52,0.5,0.51,0.51,333419
31/8/20,0.52,0.56,0.52,0.55,0.55,1003466
1/9/20,0.55,0.6,0.55,0.6,0.6,1723327
2/9/20,0.61,0.64,0.61,0.63,0.63,953772
3/9/20,0.63,0.69,0.63,0.69,0.69,1254447
4/9/20,0.67,0.85,0.65,0.84,0.84,2222710
7/9/20,0.87,0.99,0.83,0.94,0.94,3204417
8/9/20,0.98,0.99,0.9,0.94,0.94,2458345
9/9/20,0.92,0.92,0.88,0.89,0.89,726282
10/9/20,0.93,0.96,0.9,0.9,0.9,814560
11/9/20,0.9,0.9,0.79,0.85,0.85,1416378
14/9/20,0.87,0.89,0.83,0.87,0.87,912055
15/9/20,0.88,0.91,0.86,0.89,0.89,954523
16/9/20,0.92,0.92,0.85,0.88,0.88,714276
17/9/20,0.89,0.89,0.84,0.85,0.85,661409
18/9/20,0.86,0.9,0.86,0.9,0.9,566448
21/9/20,0.91,1.1,0.91,1,1,2041249
22/9/20,1,1.15,0.99,1.1,1.1,1125848
23/9/20,1.15,1.2,1.1,1.1,1.1,849917
24/9/20,1.05,1.15,1.05,1.05,1.05,617021
25/9/20,1.05,1.2,1.05,1.2,1.2,1134191
28/9/20,1.25,1.25,1.1,1.1,1.1,1739204
29/9/20,1.1,1.15,1.05,1.05,1.05,739313
30/9/20,1.05,1.1,0.95,1,1,1170220
1/10/20,1,1,1,1,1,0
2/10/20,1,1,1,1,1,0
5/10/20,0.98,1.1,0.97,1,1,1582222
6/10/20,1.05,1.05,1,1,1,844295
7/10/20,1,1.05,0.97,0.98,0.98,772205
8/10/20,0.99,0.99,0.96,0.96,0.96,490621
9/10/20,1.05,1.1,0.98,0.98,0.98,1466305
12/10/20,1.05,1.05,1,1,1,692637
13/10/20,1.05,1.05,0.98,0.99,0.99,820174
14/10/20,0.99,0.99,0.95,0.95,0.95,964301
15/10/20,0.96,1.05,0.96,1,1,727851
16/10/20,1.05,1.2,1,1.1,1.1,1573150
19/10/20,1.2,1.6,1.15,1.55,1.55,3853808
20/10/20,1.55,1.75,1.45,1.65,1.65,2313387
21/10/20,1.75,1.85,1.65,1.7,1.7,1567872
22/10/20,1.8,2.1,1.8,1.9,1.9,3063058
23/10/20,2,2,1.85,1.85,1.85,906317
26/10/20,1.9,1.95,1.8,1.85,1.85,638146
27/10/20,1.85,1.85,1.62,1.65,1.65,1020277
28/10/20,1.7,1.9,1.7,1.8,1.8,622294
29/10/20,1.7,1.8,1.65,1.8,1.8,536490
30/10/20,1.8,1.8,1.65,1.65,1.65,492764
2/11/20,1.7,1.7,1.52,1.6,1.6,745078
3/11/20,1.65,1.7,1.55,1.55,1.55,416382
4/11/20,1.6,1.625,1.5,1.6,1.6,443575
5/11/20,1.65,1.65,1.6,1.65,1.65,309447
6/11/20,1.75,1.8,1.7,1.7,1.7,395687
9/11/20,1.75,1.9,1.75,1.8,1.8,701633
10/11/20,1.75,1.8,1.72,1.75,1.75,302518
11/11/20,1.8,1.85,1.75,1.85,1.85,100337
12/11/20,1.85,1.85,1.7,1.8,1.8,465207
13/11/20,1.75,1.82,1.75,1.75,1.75,222539
16/11/20,1.8,1.85,1.8,1.85,1.85,66816
17/11/20,1.8,1.85,1.75,1.8,1.8,550075
18/11/20,1.85,2.25,1.8,2.2,2.2,1744217
19/11/20,2.2,2.35,2.15,2.15,2.15,998175
20/11/20,2.15,2.25,2.05,2.25,2.25,517789
23/11/20,2.25,2.25,2.25,2.25,2.25,0
24/11/20,2.25,2.25,2.25,2.25,2.25,0
25/11/20,2,2.15,1.85,2.05,2.05,972614
26/11/20,2.1,2.1,1.9,1.9,1.9,1632296
27/11/20,1.85,1.9,1.75,1.8,1.8,1116849
30/11/20,1.8,1.8,1.7,1.7,1.7,571478
1/12/20,1.7,2,1.65,1.95,1.95,1919771
2/12/20,1.9,1.9,1.75,1.8,1.8,1472652
3/12/20,1.8,1.8,1.7,1.75,1.75,1303639
4/12/20,1.8,1.8,1.725,1.75,1.75,495044
7/12/20,1.75,1.8,1.7,1.7,1.7,475585
8/12/20,1.8,1.85,1.75,1.75,1.75,658497
9/12/20,1.8,1.8,1.75,1.75,1.75,444347
10/12/20,1.75,1.75,1.65,1.65,1.65,752082
11/12/20,1.7,1.75,1.6,1.6,1.6,732119
14/12/20,1.65,1.7,1.5,1.65,1.65,807050
15/12/20,1.6,1.65,1.525,1.6,1.6,385181
16/12/20,1.6,1.6,1.45,1.5,1.5,1077495
17/12/20,1.55,1.6,1.5,1.55,1.55,451860
18/12/20,1.65,1.75,1.55,1.7,1.7,595330
21/12/20,1.75,1.75,1.65,1.65,1.65,404829
22/12/20,1.65,1.65,1.55,1.6,1.6,274680
23/12/20,1.65,1.65,1.6,1.65,1.65,187275
24/12/20,1.65,1.7,1.6,1.65,1.65,200003
29/12/20,1.7,1.7,1.65,1.65,1.65,300505
30/12/20,1.7,1.7,1.55,1.7,1.7,333051
31/12/20,1.7,1.7,1.6,1.6,1.6,101507
4/1/21,1.65,1.75,1.6,1.75,1.75,495615
5/1/21,1.75,1.75,1.7,1.7,1.7,442494
6/1/21,1.7,1.8,1.7,1.7,1.7,561563
7/1/21,1.75,1.75,1.65,1.7,1.7,361893
8/1/21,1.75,1.75,1.7,1.7,1.7,447531
11/1/21,1.7,1.7,1.6,1.65,1.65,756502
12/1/21,1.65,1.7,1.6,1.65,1.65,434783
13/1/21,1.65,1.675,1.6,1.6,1.6,246765
14/1/21,1.65,1.65,1.6,1.6,1.6,278619
15/1/21,1.6,1.65,1.6,1.6,1.6,163240
18/1/21,1.6,1.85,1.6,1.75,1.75,1295525
19/1/21,1.8,1.8,1.7,1.75,1.75,504052
20/1/21,1.8,1.8,1.7,1.75,1.75,323695
21/1/21,1.8,1.825,1.75,1.8,1.8,616016
22/1/21,1.85,2,1.825,1.9,1.9,1548636
25/1/21,2,2.05,1.9,1.95,1.95,1217712
27/1/21,2,2,1.85,1.85,1.85,874849
28/1/21,1.85,1.85,1.7,1.7,1.7,1282775
29/1/21,1.75,1.8,1.65,1.65,1.65,984454
1/2/21,1.7,1.7,1.5,1.55,1.55,1330404
2/2/21,1.6,1.65,1.55,1.6,1.6,483064
3/2/21,1.65,1.65,1.55,1.6,1.6,434150
4/2/21,1.6,1.65,1.55,1.55,1.55,317040
5/2/21,1.55,1.6,1.55,1.55,1.55,358335
8/2/21,1.65,1.65,1.575,1.6,1.6,383819
9/2/21,1.6,1.6,1.55,1.55,1.55,258650
10/2/21,1.55,1.6,1.5,1.55,1.55,494087
11/2/21,1.55,1.6,1.5,1.55,1.55,296130
12/2/21,1.55,1.55,1.45,1.45,1.45,732543
15/2/21,1.5,1.6,1.45,1.5,1.5,753426
16/2/21,1.55,1.65,1.55,1.55,1.55,554758
17/2/21,1.6,1.6,1.55,1.6,1.6,503360
18/2/21,1.6,1.6,1.45,1.5,1.5,459018
19/2/21,1.5,1.5,1.4,1.45,1.45,608143
22/2/21,1.45,1.55,1.4,1.55,1.55,578442
23/2/21,1.6,1.7,1.55,1.6,1.6,681477
24/2/21,1.65,1.65,1.5,1.5,1.5,703498
25/2/21,1.55,1.55,1.5,1.5,1.5,138428
26/2/21,1.5,1.5,1.45,1.45,1.45,268680
1/3/21,1.45,1.5,1.45,1.45,1.45,417944
2/3/21,1.5,1.55,1.45,1.45,1.45,483057
3/3/21,1.5,1.5,1.45,1.5,1.5,145676
4/3/21,1.45,1.5,1.45,1.45,1.45,432539
5/3/21,1.45,1.45,1.35,1.35,1.35,650289
8/3/21,1.4,1.45,1.35,1.45,1.45,393335
9/3/21,1.45,1.45,1.4,1.4,1.4,123292
10/3/21,1.45,1.6,1.45,1.55,1.55,536082
11/3/21,1.55,1.6,1.5,1.5,1.5,236044
12/3/21,1.55,1.6,1.525,1.6,1.6,214870
15/3/21,1.6,1.7,1.6,1.65,1.65,667216
16/3/21,1.7,1.7,1.6,1.65,1.65,378355
17/3/21,1.65,1.7,1.6,1.65,1.65,268309
18/3/21,1.65,1.675,1.65,1.65,1.65,129284
19/3/21,1.7,1.7,1.65,1.65,1.65,243825
22/3/21,1.65,1.7,1.6,1.65,1.65,215156
23/3/21,1.7,1.7,1.6,1.6,1.6,292422
24/3/21,1.65,1.65,1.55,1.55,1.55,82717
25/3/21,1.6,1.6,1.55,1.6,1.6,72604
26/3/21,1.6,1.6,1.55,1.55,1.55,33337
