Date,Open,High,Low,Close,Adj Close,Volume
1/5/20,0.019199,0.020159,0.015359,0.016319,0.016319,9475414
4/5/20,0.016319,0.017279,0.016319,0.017279,0.017279,2810436
5/5/20,0.017279,0.018239,0.017279,0.017279,0.017279,2124797
6/5/20,0.017279,0.018239,0.015359,0.015359,0.015359,3515663
7/5/20,0.016319,0.016319,0.015359,0.016319,0.016319,602926
8/5/20,0.016319,0.016319,0.015359,0.015359,0.015359,836721
11/5/20,0.016319,0.016319,0.016319,0.016319,0.016319,276041
12/5/20,0.015359,0.015359,0.015359,0.015359,0.015359,1059896
13/5/20,0.015359,0.016319,0.015359,0.016319,0.016319,2000269
14/5/20,0.016319,0.016319,0.016319,0.016319,0.016319,0
15/5/20,0.016319,0.016319,0.016319,0.016319,0.016319,0
18/5/20,0.016319,0.018239,0.016319,0.018239,0.018239,5609572
19/5/20,0.018239,0.020159,0.018239,0.019199,0.019199,2470245
20/5/20,0.018239,0.024959,0.018239,0.023039,0.023039,6819902
21/5/20,0.024959,0.026879,0.023999,0.024959,0.024959,7370200
22/5/20,0.024959,0.029759,0.023039,0.028799,0.028799,16622759
25/5/20,0.027839,0.033599,0.025919,0.032639,0.032639,14362583
26/5/20,0.031679,0.032639,0.030719,0.030719,0.030719,5754278
27/5/20,0.031679,0.031679,0.024959,0.028799,0.028799,6743629
28/5/20,0.028799,0.028799,0.027839,0.027839,0.027839,2006905
29/5/20,0.028799,0.029759,0.025919,0.026879,0.026879,2840694
1/6/20,0.028799,0.039359,0.028799,0.033599,0.033599,29411935
2/6/20,0.035519,0.037439,0.032639,0.033599,0.033599,10424993
3/6/20,0.035519,0.036479,0.034559,0.036479,0.036479,6023946
4/6/20,0.036479,0.037439,0.036479,0.036479,0.036479,3604280
5/6/20,0.036479,0.036479,0.036479,0.036479,0.036479,0
9/6/20,0.042239,0.042239,0.027839,0.030719,0.030719,42001681
10/6/20,0.029759,0.030719,0.025919,0.026879,0.026879,10541989
11/6/20,0.028799,0.028799,0.027839,0.027839,0.027839,2629312
12/6/20,0.025919,0.026879,0.024959,0.026879,0.026879,3653133
15/6/20,0.026879,0.029759,0.026879,0.026879,0.026879,2538222
16/6/20,0.027839,0.027839,0.027839,0.027839,0.027839,229166
17/6/20,0.027839,0.029759,0.027839,0.029759,0.029759,743150
18/6/20,0.028799,0.028799,0.025919,0.025919,0.025919,2327663
19/6/20,0.026879,0.026879,0.024959,0.024959,0.024959,1280411
22/6/20,0.024959,0.027839,0.024959,0.026879,0.026879,1529740
23/6/20,0.026879,0.026879,0.023999,0.024959,0.024959,4124112
24/6/20,0.025919,0.026879,0.025919,0.025919,0.025919,694304
25/6/20,0.025919,0.026879,0.025919,0.025919,0.025919,1158483
26/6/20,0.025919,0.028799,0.025919,0.028799,0.028799,2581997
29/6/20,0.028799,0.029759,0.027839,0.027839,0.027839,2220603
30/6/20,0.028799,0.028799,0.027839,0.027839,0.027839,1344516
1/7/20,0.028799,0.029759,0.016319,0.018239,0.018239,21005096
2/7/20,0.018239,0.024959,0.018239,0.018239,0.018239,19361198
3/7/20,0.019199,0.019199,0.018239,0.018239,0.018239,1845771
6/7/20,0.019199,0.020159,0.019199,0.019199,0.019199,3760344
7/7/20,0.018239,0.019199,0.017279,0.018719,0.018719,3046968
8/7/20,0.018239,0.019199,0.017279,0.019199,0.019199,1536545
9/7/20,0.019,0.019,0.018,0.019,0.019,1919828
10/7/20,0.019,0.019,0.018,0.018,0.018,107740
13/7/20,0.019,0.019,0.017,0.018,0.018,3761557
14/7/20,0.018,0.018,0.018,0.018,0.018,30000
15/7/20,0.017,0.018,0.017,0.018,0.018,2622840
16/7/20,0.018,0.018,0.018,0.018,0.018,276206
17/7/20,0.018,0.018,0.018,0.018,0.018,250000
20/7/20,0.018,0.019,0.017,0.018,0.018,1630129
21/7/20,0.017,0.018,0.017,0.017,0.017,2417612
22/7/20,0.018,0.018,0.016,0.016,0.016,2075272
23/7/20,0.016,0.0165,0.016,0.016,0.016,563713
24/7/20,0.017,0.017,0.017,0.017,0.017,1285903
27/7/20,0.019,0.021,0.019,0.019,0.019,7204714
28/7/20,0.02,0.02,0.019,0.019,0.019,3063596
29/7/20,0.019,0.019,0.016,0.018,0.018,3474660
30/7/20,0.019,0.02,0.018,0.019,0.019,3653534
31/7/20,0.019,0.02,0.019,0.019,0.019,6157789
3/8/20,0.02,0.02,0.019,0.019,0.019,1533514
4/8/20,0.018,0.018,0.017,0.018,0.018,5865671
5/8/20,0.017,0.019,0.016,0.018,0.018,19412148
6/8/20,0.019,0.02,0.018,0.018,0.018,9096630
7/8/20,0.019,0.019,0.018,0.018,0.018,5160258
10/8/20,0.018,0.018,0.017,0.017,0.017,8214482
11/8/20,0.018,0.019,0.014,0.016,0.016,28938235
12/8/20,0.015,0.015,0.014,0.015,0.015,6533556
13/8/20,0.015,0.015,0.015,0.015,0.015,452000
14/8/20,0.015,0.016,0.015,0.016,0.016,3064950
17/8/20,0.016,0.016,0.016,0.016,0.016,1024253
18/8/20,0.016,0.016,0.015,0.0155,0.0155,2097202
19/8/20,0.016,0.017,0.015,0.015,0.015,6311692
20/8/20,0.016,0.016,0.015,0.015,0.015,1091144
21/8/20,0.015,0.015,0.014,0.015,0.015,7315868
24/8/20,0.015,0.016,0.015,0.015,0.015,3053482
25/8/20,0.015,0.015,0.015,0.015,0.015,587639
26/8/20,0.015,0.015,0.014,0.015,0.015,8931025
27/8/20,0.015,0.015,0.014,0.014,0.014,200000
28/8/20,0.014,0.014,0.014,0.014,0.014,2461110
31/8/20,0.015,0.015,0.014,0.014,0.014,1138084
1/9/20,0.014,0.014,0.014,0.014,0.014,5153325
2/9/20,0.014,0.015,0.014,0.014,0.014,654071
3/9/20,0.015,0.015,0.014,0.014,0.014,3503514
4/9/20,0.014,0.014,0.014,0.014,0.014,3550412
7/9/20,0.014,0.014,0.014,0.014,0.014,7370072
8/9/20,0.014,0.017,0.014,0.017,0.017,22259744
9/9/20,0.017,0.017,0.016,0.017,0.017,3896250
10/9/20,0.017,0.018,0.017,0.018,0.018,4525302
11/9/20,0.018,0.018,0.017,0.017,0.017,3928969
14/9/20,0.018,0.018,0.016,0.017,0.017,3435823
15/9/20,0.016,0.018,0.016,0.017,0.017,7495894
16/9/20,0.017,0.018,0.017,0.017,0.017,3033085
17/9/20,0.018,0.021,0.018,0.02,0.02,74113817
18/9/20,0.021,0.021,0.019,0.02,0.02,22389598
21/9/20,0.02,0.024,0.02,0.022,0.022,25877776
22/9/20,0.022,0.023,0.021,0.021,0.021,13797345
23/9/20,0.022,0.023,0.022,0.022,0.022,8200750
24/9/20,0.021,0.021,0.02,0.02,0.02,11784993
25/9/20,0.02,0.02,0.02,0.02,0.02,3433975
28/9/20,0.02,0.021,0.019,0.019,0.019,5396846
29/9/20,0.02,0.021,0.02,0.02,0.02,6221952
30/9/20,0.021,0.021,0.02,0.02,0.02,4530967
1/10/20,0.021,0.021,0.02,0.02,0.02,1309375
2/10/20,0.021,0.021,0.02,0.02,0.02,6871254
5/10/20,0.02,0.02,0.019,0.02,0.02,2396873
6/10/20,0.02,0.021,0.02,0.021,0.021,3000296
7/10/20,0.021,0.025,0.021,0.023,0.023,29850764
8/10/20,0.024,0.027,0.022,0.026,0.026,24227007
9/10/20,0.026,0.027,0.025,0.026,0.026,9256558
